Organisation;Location;Detail;Rocket_Status;Mission_Status;Propellant;Thrust;Payload_to_LEO;Dry_Mass;Size
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz MS-01;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 4B | Shijian 16-02;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-201, Wenchang Satellite Launch Center, China;Long March 7/YZ-1A | Demo Flight;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | MUOS-5;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | EchoStar 18, BRISat;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | ABS-2A & Eutelsat 117 West B;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3C/E | BeiDou-2 G7;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-9, Taiyuan Satellite Launch Center, China;Long March 4B | Ziyuan III-02 & ??uSat-1, 2;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat | GLONASS-M No.51S;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | Thaicom 8;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo FOC FM10/FM11;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Yaogan 30;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | JCSAT-14;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Roscosmos;Site 1S, Vostochny Cosmodrome, Russia;Soyuz 2.1a/Volga | Mikhailo Lomonosov, Aist-2D, & SamSat 218;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat-M | Sentinel 1B, MICROSCOPE & Others;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | CRS-8;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China;Long March 2D | Shijian-10;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1a | Progress MS-02;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3A | BeiDou IGSO-6;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1a | Bars-M 2L;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | CRS OA-6;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Roscosmos;Site 1/5, Baikonur Cosmodrome, Kazakhstan;Soyuz FG | Soyuz TMA-20M;StatusRetired;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Roscosmos;Site 31/6, Baikonur Cosmodrome, Kazakhstan;Soyuz 2.1b | Resurs-P No.3;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat 65 West A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | SES-9;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1b/Fregat | GLONASS-M No.50S;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-12;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;LC-2, Xichang Satellite Launch Center, China;Long March 3C/YZ-1 | BeiDou M3-S;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 29e;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 v1.1 | Jason-3;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
CASC;LC-3, Xichang Satellite Launch Center, China;Long March 3B/E | Belintersat 1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 Block 3 | OG2 Mission 2;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo FOC FM8-FM9;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | CRS OA-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v/Volga | Cosmos 2511 and 2512;StatusActive;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Arabsat 6B, GSAT-15;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-11;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | NROL-55;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | Morelos-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | NBN Co 1A, ARSAT-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
CASC;Site 95, Jiuquan Satellite Launch Center, China;Long March 11 | Pujian 1 & Others;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
CASC;LC-16, Taiyuan Satellite Launch Center, China;Long March 6 | Demo Flight;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo FOC FM05-FM06;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | MUOS-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat 8 West B, Intelsat 34;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Star One C4, MSG-4;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-10;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | CRS-7;StatusRetired;Failure;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | DirecTV-15, Sky Mexico 1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 501 | OTV-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | Turkmen??lem52E/MonacoSat;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Thor 7, SICRAL-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | CRS-6;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo FOC FM03-FM04;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 421 | MMS;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | ABS-3A & EUTELSAT 115 West B;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | DSCOVR;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | MUOS-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | CRS-5;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | O3b FM09-FM12;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 541 | NROL-35;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | DirecTV-14, GSAT-16;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-8;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 30, ARSAT-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | CRS-4;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | CLIO;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | MEASAT 3b, Optus 10;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | AsiaSat 6;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo FOC FM01-FM02;StatusActive;Partial Failure;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | WorldView 3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | AsiaSat 8;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-7;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Georges Lema??tre ATV;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | OG2 Mission 1;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | O3b FM03/FM06-FM08;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | NROL-33;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | CRS-3;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 541 | NROL-67;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat-M | Sentinel 1A;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | DMSP-5D3 F19;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Astra 5B, Amazonas 4A;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | ABS-2, Athena-Fidus;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | TDRS-L;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | Thaicom 6;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
VKS RF;Site 43/4, Plesetsk Cosmodrome, Russia;Soyuz 2.1v/Volga | Cosmos 2492 and 2493 & AIST-1 1;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Gaia;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 501 | NROL-39;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.1 | SES-8;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | MAVEN;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-4E, Vandenberg AFB, California, USA;Falcon 9 v1.1 | CASSIOPE;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 531 | AEHF-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat 25B/Es'hail 1, GSAT-7;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Alphasat I-XL, INSAT-3D;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | MUOS-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | O3b FM01-FM02/FM04-FM05;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/G | Shenzhou 10;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Albert Einstein ATV;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | GPS IIF-4;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | SBIRS GEO-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.0 | CRS-2;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | Landsat 8;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Amazonas-3, Azerspace-1 (Africasat-1A);StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | TDRS-K;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Skynet 5D, Mexsat-3;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 501 | OTV-3;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat | Pl??iades 1B;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat 21B, Star One C3;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo IOV FM03-FM04;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.0 | CRS-1;StatusRetired;Partial Failure;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Astra 2F, GSAT-10;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 401 | NROL-36;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | Van Allen Probes (RBSP);StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 20, HYLAS 2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | EchoStar XVII, MSG-3;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | NROL-38;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/G | Shenzhou 9;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.0 | COTS-2+;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | JCSAT-13, Vinasat-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 531 | AEHF-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Edoardo Amaldi ATV;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | MUOS-1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-A/Fregat | Pl??iades 1A, SSOT, Elisa;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 541 | Mars Science Laboratory;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/G | Shenzhou 8;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELS, Guiana Space Centre, French Guiana, France;Soyuz ST-B/Fregat-MT | Galileo IOV FM01-FM02;StatusActive;Success;RP-1/LOX;4,150 kN;8,200 kg;312,000 kg;0
CASC;Site 901 (SLS-1), Jiuquan Satellite Launch Center, China;Long March 2F/T | Tiangong-1;StatusActive;Success;N2O4/UDMH or LOX/LH2;6,000 kN;25,000 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Arabsat-5C, SES-2;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Astra 1N, BSAT-3C (JCSAT-110R);StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 551 | Juno;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | ST-2, GSAT-8;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 401 | SBIRS GEO-1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Yahsat 1A, Intelsat 28 (New Dawn);StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 411 | NROL-34;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 501 | OTV-2;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ES | Johannes Kepler ATV;StatusRetired;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Koreasat 6, Hispasat-1E;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
SpaceX;SLC-40, Cape Canaveral AFS, Florida, USA;Falcon 9 v1.0 | COTS-1;StatusRetired;Success;RP-1/LOX;7,607 kN;22,800 kg;549,000 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Intelsat 17, HYLAS-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Eutelsat W3B, BSAT-3B;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
ULA;SLC-3E, Vandenberg AFB, California, USA;Atlas V 501 | NROL-41;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
ULA;SLC-41, Cape Canaveral AFS, Florida, USA;Atlas V 531 | AEHF-1;StatusActive;Success;RP-1/LOX + LH2/LOX;3,800 kN;18,850 kg;334,500 kg;1
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Nilesat-201, Rascom-QAF 1R;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
Arianespace;ELA-3, Guiana Space Centre, French Guiana, France;Ariane 5 ECA | Arabsat-5A, COMS-1;StatusActive;Success;LH2/LOX + Solid;13,000 kN;21,000 kg;780,000 kg;2
